ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount
38850	C9F21N	521.07	7.9	N/A	N/A	3.2	555	N/A	0	22	6	31	N/A	N/A	N/A	N/A	N/A
38859	C10F19N	495.08	6.4	N/A	N/A	3.2	749	N/A	0	20	0	30	N/A	N/A	N/A	N/A	N/A
38865	C12F23N	595.10	7.1	N/A	N/A	3.2	866	N/A	0	24	1	36	N/A	N/A	N/A	N/A	N/A
38810	C10H2F18	464.09	6.7	N/A	N/A	0	535	N/A	0	18	6	28	N/A	N/A	N/A	N/A	N/A
38872	C8Cl2F16	470.96	7	N/A	N/A	0	488	N/A	0	16	7	26	N/A	N/A	N/A	N/A	N/A
41059	C23H20N4O2	384.4	2.1	N/A	N/A	92.9	705	N/A	3	3	5	29	N/A	N/A	N/A	N/A	N/A
39072	C17H16FN5	309.34	2.9	N/A	N/A	75.9	342	N/A	3	6	5	23	N/A	N/A	N/A	N/A	N/A
34572	C19H26O3	302.4	4.8	N/A	N/A	43.4	574	N/A	0	3	6	22	N/A	N/A	N/A	N/A	N/A
39091	C26H21F6NO5	541.4	6.8	N/A	N/A	85.6	917	N/A	0	12	10	38	N/A	N/A	N/A	N/A	N/A
3093	C23H22ClF3O2	422.9	6	N/A	N/A	26.3	622	N/A	0	5	6	29	N/A	N/A	N/A	N/A	N/A
39282	CH3I	141.939	1.5	N/A	N/A	0	2	N/A	0	0	0	2	N/A	N/A	N/A	N/A	N/A
39280	C22H26O3	338.4	6.1	N/A	N/A	39.4	497	N/A	0	3	7	25	N/A	N/A	N/A	N/A	N/A
39287	F2O2S	102.06	0.7	N/A	N/A	42.5	85	N/A	0	4	0	5	N/A	N/A	N/A	N/A	N/A
39323	C23H19ClF3NO3	449.8	6.1	N/A	N/A	59.3	736	N/A	0	7	7	31	N/A	N/A	N/A	N/A	N/A
5014	C25H22ClNO3	419.9	6.2	N/A	N/A	59.3	586	N/A	0	4	8	30	N/A	N/A	N/A	N/A	N/A
39348	C25H28O3	376.5	7	N/A	N/A	27.7	422	N/A	0	3	9	28	N/A	N/A	N/A	N/A	N/A
39361	C28H22Cl2FNO3	510.4	7.6	N/A	N/A	59.3	825	N/A	0	5	8	35	N/A	N/A	N/A	N/A	N/A
39389	C17H22N2O4	318.4	2.1	N/A	N/A	66.9	622	N/A	0	4	6	23	N/A	N/A	N/A	N/A	N/A
39393	C25H29FO2Si	408.6	N/A	N/A	N/A	18.5	458	N/A	0	3	9	29	N/A	N/A	N/A	N/A	N/A
39397	C19H25NO4	331.4	4.7	N/A	N/A	63.7	639	N/A	0	4	5	24	N/A	N/A	N/A	N/A	N/A
39400	C22H19Br4NO3	665.0	8	N/A	N/A	59.3	665	N/A	0	4	7	30	N/A	N/A	N/A	N/A	N/A
32253	C15H12Cl2F4O2	371.2	5	N/A	N/A	26.3	482	N/A	0	6	5	23	N/A	N/A	N/A	N/A	N/A
39402	C26H22BrF2NO4	530.4	6.9	N/A	N/A	68.6	684	N/A	0	7	10	34	N/A	N/A	N/A	N/A	N/A
39404	C18H26O2	274.4	5	N/A	N/A	26.3	481	N/A	0	2	6	20	N/A	N/A	N/A	N/A	N/A
34916	C23H26O3	350.4	6.2	N/A	N/A	35.5	512	N/A	0	3	7	26	N/A	N/A	N/A	N/A	N/A
39411	C17H16Cl2O3	339.2	4.7	N/A	N/A	46.5	348	N/A	1	3	5	22	N/A	N/A	N/A	N/A	N/A
39422	C8H18O3S	194.29	2.5	N/A	N/A	62.8	179	N/A	1	3	7	12	N/A	N/A	N/A	N/A	N/A
39423	C14F24	624.11	7.2	N/A	N/A	0	986	N/A	0	24	0	38	N/A	N/A	N/A	N/A	N/A
39427	C6F14	338.04	5.1	N/A	N/A	0	319	N/A	0	14	3	20	N/A	N/A	N/A	N/A	N/A
39428	C5F12	288.03	4.5	N/A	N/A	0	250	N/A	0	12	2	17	N/A	N/A	N/A	N/A	N/A
8207	C11H16N2O2	208.26	1.1	N/A	N/A	44.1	245	N/A	0	3	3	15	N/A	N/A	N/A	N/A	N/A
39031	C10F19N	495.08	6.4	N/A	N/A	3.2	749	N/A	0	20	0	30	N/A	N/A	N/A	N/A	N/A
43755	C21H31N3O5	405.5	-2.9	N/A	N/A	133	550	N/A	4	7	12	29	N/A	N/A	N/A	N/A	N/A
6503	C21H35N3O7	441.5	N/A	N/A	N/A	135	550	N/A	6	9	12	31	N/A	N/A	N/A	N/A	N/A
3089	C15H18N4O4S	350.4	1.4	N/A	N/A	128	609	N/A	1	6	3	24	N/A	N/A	N/A	N/A	N/A
6770	C17H31N3O8S	437.5	N/A	N/A	N/A	139	679	N/A	6	10	5	29	N/A	N/A	N/A	N/A	N/A
42452	C10H13N5O4	267.24	-2.2	N/A	N/A	150	335	N/A	5	8	2	19	N/A	N/A	N/A	N/A	N/A
27565	C7H7NO3	153.14	1.3	N/A	N/A	83.6	160	N/A	3	4	1	11	N/A	N/A	N/A	N/A	N/A
46937	C16H27N2O+	263.40	2.5	N/A	N/A	29.1	268	N/A	1	1	6	19	N/A	N/A	N/A	N/A	N/A
9674	C17H12Cl2N4	343.2	2.4	N/A	N/A	43.1	472	N/A	0	3	1	23	N/A	N/A	N/A	N/A	N/A
1751	C10H8O8S2	320.3	0.5	N/A	N/A	166	507	N/A	4	8	2	20	N/A	N/A	N/A	N/A	N/A
