	ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount	RoleType	RoleName
398	63862																		biological role	metabolite
399	63905																		biological role	metabolite
400	63906																		biological role	metabolite
401	63917																		biological role	metabolite
402	63976																		biological role	metabolite
403	63979																		biological role	metabolite
404	63980																		biological role	metabolite
405	63983																		biological role	metabolite
406	63984																		biological role	metabolite
407	63985																		biological role	metabolite
408	63986																		biological role	metabolite
409	64095																		biological role	metabolite
410	64112																		biological role	metabolite
411	64189																		biological role	metabolite
412	64192																		biological role	metabolite
413	38890																		biological role	metabolite
414	64398																		biological role	metabolite
415	64399																		biological role	metabolite
416	32807																		biological role	metabolite
417	64412																		biological role	metabolite
418	64413																		biological role	metabolite
419	18136																		biological role	metabolite
420	62457																		biological role	metabolite
421	64450																		biological role	metabolite
422	64454																		biological role	metabolite
423	64465																		biological role	metabolite
424	64496																		biological role	metabolite
425	64492																		biological role	metabolite
426	64499																		biological role	metabolite
427	64512																		biological role	metabolite
428	64530																		biological role	metabolite
429	64535																		biological role	metabolite
430	15344																		biological role	metabolite
431	49096																		biological role	metabolite
432	17170																		biological role	metabolite
433	64673																		biological role	metabolite
434	27389																		biological role	metabolite
435	64757																		biological role	metabolite
436	64761																		biological role	metabolite
437	64803																		biological role	metabolite
438	64811																		biological role	metabolite
439	64838																		biological role	metabolite
440	15859																		biological role	metabolite
441	64944																		biological role	metabolite
442	64978																		biological role	metabolite
443	64980																		biological role	metabolite
444	65007																		biological role	metabolite
445	65009																		biological role	metabolite
446	65012																		biological role	metabolite
447	65019																		biological role	metabolite
448	22990																		biological role	metabolite
449	65021																		biological role	metabolite
450	65022																		biological role	metabolite
451	65024																		biological role	metabolite
452	65025																		biological role	metabolite
453	65026																		biological role	metabolite
454	59783																		biological role	metabolite
455	52682																		biological role	metabolite
456	65054																		biological role	metabolite
457	4141																		biological role	metabolite
458	17733																		biological role	metabolite
459	65058																		biological role	metabolite
460	65063																		biological role	metabolite
461	28635																		biological role	metabolite
462	65083																		biological role	metabolite
463	4208																		biological role	metabolite
464	58359																		biological role	metabolite
465	60630																		biological role	metabolite
466	64390																		biological role	metabolite
467	64414																		biological role	metabolite
468	17755																		biological role	metabolite
469	30653																		biological role	metabolite
470	65357																		biological role	metabolite
471	65370																		biological role	metabolite
472	65486																		biological role	metabolite
473	65610																		biological role	metabolite
474	65657																		biological role	metabolite
475	65788																		biological role	metabolite
476	65830																		biological role	metabolite
477	65968																		biological role	metabolite
478	66007																		biological role	metabolite
479	66008																		biological role	metabolite
480	66097																		biological role	metabolite
481	66266																		biological role	metabolite
482	66268																		biological role	metabolite
483	540787																		biological role	metabolite
484	66321																		biological role	metabolite
485	66393																		biological role	metabolite
486	66435																		biological role	metabolite
487	66436																		biological role	metabolite
488	66487																		biological role	metabolite
489	66519																		biological role	metabolite
490	66550																		biological role	metabolite
491	66706																		biological role	metabolite
492	66710																		biological role	metabolite
493	66742																		biological role	metabolite
494	8048																		biological role	metabolite
495	66810																		biological role	metabolite
496	66955																		biological role	metabolite
497	66959																		biological role	metabolite
498	66958																		biological role	metabolite
499	67156																		biological role	metabolite
500	67159																		biological role	metabolite
501	67221																		biological role	metabolite
502	67240																		biological role	metabolite
503	67236																		biological role	metabolite
504	67242																		biological role	metabolite
505	67243																		biological role	metabolite
506	67249																		biological role	metabolite
507	67254																		biological role	metabolite
508	67255																		biological role	metabolite
509	67257																		biological role	metabolite
510	67259																		biological role	metabolite
511	67263																		biological role	metabolite
512	67270																		biological role	metabolite
513	8337																		biological role	metabolite
514	10696																		biological role	metabolite
515	17818																		biological role	metabolite
516	9402																		biological role	metabolite
517	67851																		biological role	metabolite
518	67852																		biological role	metabolite
519	67853																		biological role	metabolite
520	67854																		biological role	metabolite
521	67855																		biological role	metabolite
522	67856																		biological role	metabolite
523	67857																		biological role	metabolite
524	67858																		biological role	metabolite
525	67859																		biological role	metabolite
526	67860																		biological role	metabolite
527	68039																		biological role	metabolite
528	63710																		biological role	metabolite
529	68238																		biological role	metabolite
530	68246																		biological role	metabolite
531	68256																		biological role	metabolite
532	68257																		biological role	metabolite
533	68258																		biological role	metabolite
534	68259																		biological role	metabolite
535	68260																		biological role	metabolite
536	61277																		biological role	metabolite
537	61279																		biological role	metabolite
538	68281																		biological role	metabolite
539	36467																		biological role	metabolite
540	68286																		biological role	metabolite
541	68287																		biological role	metabolite
542	68290																		biological role	metabolite
543	68291																		biological role	metabolite
544	68292																		biological role	metabolite
545	17948																		biological role	metabolite
546	68332																		biological role	metabolite
547	68333																		biological role	metabolite
548	68334																		biological role	metabolite
549	15723																		biological role	metabolite
550	68337																		biological role	metabolite
551	68347																		biological role	metabolite
552	68348																		biological role	metabolite
553	68349																		biological role	metabolite
554	68350																		biological role	metabolite
555	68351																		biological role	metabolite
556	68383																		biological role	metabolite
557	68398																		biological role	metabolite
558	68408																		biological role	metabolite
559	68409																		biological role	metabolite
560	68410																		biological role	metabolite
561	68411																		biological role	metabolite
562	68412																		biological role	metabolite
563	68413																		biological role	metabolite
564	68414																		biological role	metabolite
565	68415																		biological role	metabolite
566	68416																		biological role	metabolite
567	68417																		biological role	metabolite
568	68418																		biological role	metabolite
569	68419																		biological role	metabolite
570	68420																		biological role	metabolite
571	68421																		biological role	metabolite
572	68422																		biological role	metabolite
573	68423																		biological role	metabolite
574	68440																		biological role	metabolite
575	68447																		biological role	metabolite
576	16132																		biological role	metabolite
577	68453																		biological role	metabolite
578	68454																		biological role	metabolite
579	68455																		biological role	metabolite
580	68456																		biological role	metabolite
581	68459																		biological role	metabolite
582	68465																		biological role	metabolite
583	68467																		biological role	metabolite
584	17069																		biological role	metabolite
585	68486																		biological role	metabolite
586	68500																		biological role	metabolite
587	68502																		biological role	metabolite
588	39912																		biological role	metabolite
589	68496																		biological role	metabolite
590	68499																		biological role	metabolite
591	17645																		biological role	metabolite
592	16388																		biological role	metabolite
593	68552																		biological role	metabolite
594	16895																		biological role	metabolite
595	68555																		biological role	metabolite
596	68566																		biological role	metabolite
597	68568																		biological role	metabolite
598	37025																		biological role	metabolite
599	37081																		biological role	metabolite
600	68572																		biological role	metabolite
601	68577																		biological role	metabolite
602	68578																		biological role	metabolite
603	68583																		biological role	metabolite
604	68589																		biological role	metabolite
605	68616																		biological role	metabolite
606	68625																		biological role	metabolite
607	68624																		biological role	metabolite
608	68665																		biological role	metabolite
609	64976																		biological role	metabolite
610	16924																		biological role	metabolite
611	27570																		biological role	metabolite
612	35425																		biological role	metabolite
613	68832																		biological role	metabolite
614	68834																		biological role	metabolite
615	68863																		biological role	metabolite
616	68864																		biological role	metabolite
617	68865																		biological role	metabolite
618	68866																		biological role	metabolite
619	68867																		biological role	metabolite
620	68868																		biological role	metabolite
621	68869																		biological role	metabolite
622	68870																		biological role	metabolite
623	68871																		biological role	metabolite
624	68872																		biological role	metabolite
625	68873																		biological role	metabolite
626	68875																		biological role	metabolite
627	68895																		biological role	metabolite
628	68896																		biological role	metabolite
629	68897																		biological role	metabolite
630	68898																		biological role	metabolite
631	68899																		biological role	metabolite
632	28603																		biological role	metabolite
633	28136																		biological role	metabolite
634	519567																		biological role	metabolite
635	6631																		biological role	metabolite
636	69445																		biological role	metabolite
637	17281																		biological role	metabolite
638	63460																		biological role	metabolite
639	37502																		biological role	metabolite
640	28649																		biological role	metabolite
641	49156																		biological role	metabolite
642	15401																		biological role	metabolite
643	53644																		biological role	metabolite
644	31850																		biological role	metabolite
645	62416																		biological role	metabolite
646	70319																		biological role	metabolite
647	70320																		biological role	metabolite
648	70321																		biological role	metabolite
649	70736																		biological role	metabolite
650	28860																		biological role	metabolite
651	70744																		biological role	metabolite
652	70747																		biological role	metabolite
653	70756																		biological role	metabolite
654	28397																		biological role	metabolite
655	16889																		biological role	metabolite
656	70766																		biological role	metabolite
657	70767																		biological role	metabolite
658	70796																		biological role	metabolite
659	70797																		biological role	metabolite
660	70801																		biological role	metabolite
661	70804																		biological role	metabolite
662	70803																		biological role	metabolite
663	43615																		biological role	metabolite
664	70806																		biological role	metabolite
665	70808																		biological role	metabolite
666	70818																		biological role	metabolite
667	16795																		biological role	metabolite
668	70786																		biological role	metabolite
669	70824																		biological role	metabolite
670	70830																		biological role	metabolite
671	70831																		biological role	metabolite
672	70834																		biological role	metabolite
673	70835																		biological role	metabolite
674	70837																		biological role	metabolite
675	70840																		biological role	metabolite
676	70842																		biological role	metabolite
677	70844																		biological role	metabolite
678	40526																		biological role	metabolite
679	18083																		biological role	metabolite
680	28921																		biological role	metabolite
681	70854																		biological role	metabolite
682	39624																		biological role	metabolite
683	21839																		biological role	metabolite
684	39992																		biological role	metabolite
685	70857																		biological role	metabolite
686	70867																		biological role	metabolite
687	70866																		biological role	metabolite
688	70860																		biological role	metabolite
689	19062																		biological role	metabolite
690	19702																		biological role	metabolite
691	70861																		biological role	metabolite
692	19229																		biological role	metabolite
693	20794																		biological role	metabolite
694	70863																		biological role	metabolite
695	70869																		biological role	metabolite
696	70961																		biological role	metabolite
697	70966																		biological role	metabolite
